"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.227339542E0,-1.787796418E-1,-7.536900178E-2,-2.249014556E-2
3.237295542E0,-1.718456481E-1,-4.993873000E-2,8.372569621E-2
3.247251542E0,-1.126475506E-1,1.917989060E-2,9.112534761E-2
3.257206542E0,-3.471283169E-2,6.047278136E-2,1.109614420E-1
3.267162542E0,7.611646780E-2,1.033469054E-1,7.900874734E-2
3.277118542E0,1.796546228E-1,1.685864832E-1,9.402205825E-2
3.287073542E0,2.243472310E-1,1.850801629E-1,1.566182560E-1
3.297029542E0,2.108401080E-1,1.665177383E-1,2.110102254E-1
3.306985542E0,1.842392236E-1,1.351433332E-1,2.176894999E-1
3.316940542E0,1.229680415E-1,9.157309815E-2,1.672251052E-1
3.326896542E0,5.632365652E-2,2.679983586E-2,2.492901921E-2
3.336852542E0,-2.974468553E-2,9.502456337E-3,-3.312915444E-2
3.346807542E0,-9.683338126E-2,4.928179532E-3,-1.025952458E-2
3.356763542E0,-1.061989031E-1,-1.554760024E-2,2.951265156E-2
3.366719542E0,-5.681491856E-2,-1.617179051E-2,8.282756388E-2
3.376674542E0,1.342662326E-2,1.143715382E-3,4.684379876E-2
3.386630542E0,6.206543043E-2,4.231045246E-3,-1.471393347E-2
3.396586542E0,1.209686044E-1,3.225967348E-2,-6.240382433E-2
3.406541542E0,2.043497352E-1,8.810993850E-2,-1.245848697E-1
3.416497542E0,2.762548464E-1,1.111314498E-1,-1.382749557E-1
3.426453542E0,2.847820602E-1,1.104435249E-1,-4.742852032E-2
3.436408542E0,2.059353721E-1,1.046518578E-1,4.808223903E-2
3.446364542E0,1.309093278E-1,1.125643100E-1,9.473892689E-2
3.456320542E0,7.166973795E-2,5.216534972E-2,1.138376874E-1
3.466275542E0,3.268259619E-2,-1.069675013E-2,1.248620278E-1
3.476231542E0,-1.916823728E-2,-4.946495935E-2,8.674812198E-2
3.486187542E0,-4.681662291E-2,-8.369836047E-2,2.564237952E-2
3.496142542E0,-9.736057171E-2,-6.935908735E-2,-2.920333385E-2
3.506098542E0,-8.903500456E-2,-3.430766076E-2,-5.554854870E-2
3.516054542E0,5.633234968E-3,3.105456233E-3,-5.218347609E-2
3.526010542E0,5.516487085E-2,2.549152136E-2,-6.311484575E-2
3.535965542E0,9.029039263E-2,4.710911617E-2,-8.351285756E-2
3.545921542E0,1.101654989E-1,8.572880611E-2,-6.624193668E-2
3.555877542E0,1.025773022E-1,8.416262940E-2,-5.561169863E-2
3.565832542E0,9.954888303E-2,6.203720391E-2,-2.954598069E-3
3.575788542E0,8.128148697E-2,6.556687564E-2,4.400380611E-2
3.585744542E0,6.811535717E-2,7.689907193E-2,1.446776569E-2
3.595699542E0,5.674509916E-2,7.213461444E-2,6.180506945E-4
